gid,x,y,z
310,-13.5,-5,-1.42857
311,-13.5,-5,-1.07143
312,-13.5,-5,-0.714286
313,-13.5,-5,-0.357143
314,-13.5,-5,-0
315,-13.5,-5,0.357143
316,-13.5,-5,0.714286
317,-13.5,-5,1.07143
318,-13.5,-5,1.42857
319,-13.5,-5,1.78571
320,-13.5,-5,2.14286
321,-13.5,-5,2.5
322,-13.5,-5,3.5
323,-13.5,-4.28571,-3.5
324,-13.5,-4.28571,-2.5
325,-13.5,-4.28571,-2.14286
326,-13.5,-4.28571,-1.78571
327,-13.5,-4.28571,-1.42857
328,-13.5,-4.28571,-1.07143
329,-13.5,-4.28571,-0.714286
330,-13.5,-4.28571,-0.357143
331,-13.5,-4.28571,-0
332,-13.5,-4.28571,0.357143
333,-13.5,-4.28571,0.714286
334,-13.5,-4.28571,1.07143
335,-13.5,-4.28571,1.42857
336,-13.5,-4.28571,1.78571
337,-13.5,-4.28571,2.14286
338,-13.5,-4.28571,2.5
339,-13.5,-4.28571,3.5
340,-13.5,-3.57143,-3.5
341,-13.5,-3.57143,-2.5
342,-13.5,-3.57143,-2.14286
343,-13.5,-3.57143,-1.78571
344,-13.5,-3.57143,-1.42857
345,-13.5,-3.57143,-1.07143
346,-13.5,-3.57143,-0.714286
347,-13.5,-3.57143,-0.357143
348,-13.5,-3.57143,-0
349,-13.5,-3.57143,0.357143
350,-13.5,-3.57143,0.714286
351,-13.5,-3.57143,1.07143
352,-13.5,-3.57143,1.42857
353,-13.5,-3.57143,1.78571
354,-13.5,-3.57143,2.14286
355,-13.5,-3.57143,2.5
356,-13.5,-3.57143,3.5
357,-13.5,-2.85714,-3.5
358,-13.5,-2.85714,-2.5
359,-13.5,-2.85714,-2.14286
360,-13.5,-2.85714,-1.78571
361,-13.5,-2.85714,-1.42857
362,-13.5,-2.85714,-1.07143
363,-13.5,-2.85714,-0.714286
364,-13.5,-2.85714,-0.357143
365,-13.5,-2.85714,-0
366,-13.5,-2.85714,0.357143
367,-13.5,-2.85714,0.714286
368,-13.5,-2.85714,1.07143
369,-13.5,-2.85714,1.42857
370,-13.5,-2.85714,1.78571
371,-13.5,-2.85714,2.14286
372,-13.5,-2.85714,2.5
373,-13.5,-2.85714,3.5
374,-13.5,-2.14286,-3.5
375,-13.5,-2.14286,-2.5
376,-13.5,-2.14286,-2.14286
377,-13.5,-2.14286,-1.78571
378,-13.5,-2.14286,-1.42857
379,-13.5,-2.14286,-1.07143
380,-13.5,-2.14286,-0.714286
381,-13.5,-2.14286,-0.357143
382,-13.5,-2.14286,-0
383,-13.5,-2.14286,0.357143
384,-13.5,-2.14286,0.714286
385,-13.5,-2.14286,1.07143
