H_eV,T_noC,T_withC
-8.770235e-02,0.000000e+00,0.000000e+00
-8.520235e-02,0.000000e+00,0.000000e+00
-8.270235e-02,0.000000e+00,0.000000e+00
-8.020235e-02,0.000000e+00,0.000000e+00
-7.770235e-02,0.000000e+00,0.000000e+00
-7.520235e-02,0.000000e+00,0.000000e+00
-7.270235e-02,0.000000e+00,0.000000e+00
-7.020235e-02,0.000000e+00,0.000000e+00
-6.770235e-02,0.000000e+00,0.000000e+00
-6.520235e-02,0.000000e+00,0.000000e+00
-6.270235e-02,0.000000e+00,0.000000e+00
-6.020235e-02,0.000000e+00,0.000000e+00
-5.770235e-02,0.000000e+00,0.000000e+00
-5.520235e-02,0.000000e+00,0.000000e+00
-5.270235e-02,0.000000e+00,0.000000e+00
-5.020235e-02,0.000000e+00,0.000000e+00
-4.770235e-02,0.000000e+00,0.000000e+00
-4.520235e-02,0.000000e+00,0.000000e+00
-4.270235e-02,0.000000e+00,0.000000e+00
-4.020235e-02,0.000000e+00,0.000000e+00
-3.770235e-02,0.000000e+00,0.000000e+00
-3.520235e-02,0.000000e+00,0.000000e+00
-3.270235e-02,0.000000e+00,0.000000e+00
-3.020235e-02,0.000000e+00,0.000000e+00
-2.770235e-02,0.000000e+00,0.000000e+00
-2.520235e-02,0.000000e+00,0.000000e+00
-2.270235e-02,0.000000e+00,0.000000e+00
-2.020235e-02,0.000000e+00,0.000000e+00
-1.770235e-02,0.000000e+00,0.000000e+00
-1.520235e-02,9.947737e-01,9.947737e-01
-1.270235e-02,9.948263e-01,9.948263e-01
-1.020235e-02,9.947866e-01,9.947866e-01
-7.702351e-03,9.947065e-01,9.947065e-01
-5.202351e-03,9.946040e-01,9.946040e-01
-2.702351e-03,9.944884e-01,9.944884e-01
-2.023515e-04,9.943650e-01,9.943650e-01
2.297649e-03,9.942376e-01,9.942376e-01
4.797649e-03,9.941089e-01,9.941089e-01
7.297649e-03,9.924599e-01,9.924599e-01
9.797649e-03,9.926577e-01,9.926577e-01
1.229765e-02,9.926886e-01,9.926886e-01
1.479765e-02,9.926727e-01,9.926727e-01
1.729765e-02,9.926363e-01,9.926363e-01
1.979765e-02,9.925903e-01,9.925903e-01
2.229765e-02,9.925403e-01,9.925403e-01
2.479765e-02,9.924899e-01,9.924899e-01
2.729765e-02,9.924412e-01,9.924412e-01
2.979765e-02,9.923956e-01,9.923956e-01
3.229765e-02,9.923541e-01,9.923541e-01
3.479765e-02,9.923172e-01,9.923172e-01
3.729765e-02,9.922853e-01,9.922853e-01
3.979765e-02,9.922584e-01,9.922584e-01
4.229765e-02,9.922368e-01,9.922368e-01
4.479765e-02,9.922201e-01,9.922201e-01
4.729765e-02,9.922084e-01,9.922084e-01
4.979765e-02,9.922013e-01,9.922013e-01
5.229765e-02,9.921987e-01,9.921987e-01
5.479765e-02,9.922002e-01,9.922002e-01
5.729765e-02,9.922056e-01,9.922056e-01
5.979765e-02,9.922146e-01,9.922146e-01
6.229765e-02,9.922269e-01,9.922269e-01
6.479765e-02,9.922422e-01,9.922422e-01
6.729765e-02,9.922602e-01,9.922602e-01
6.979765e-02,9.922806e-01,9.922806e-01
7.229765e-02,9.923032e-01,9.923032e-01
7.479765e-02,9.923278e-01,9.923278e-01
7.729765e-02,9.923541e-01,9.923541e-01
7.979765e-02,9.923818e-01,9.923818e-01
8.229765e-02,9.924109e-01,9.924109e-01
8.479765e-02,9.924411e-01,9.924411e-01
8.729765e-02,9.924723e-01,9.924723e-01
8.979765e-02,9.925042e-01,9.925042e-01
9.229765e-02,9.925369e-01,9.925369e-01
9.479765e-02,9.925700e-01,9.925700e-01
9.729765e-02,9.926036e-01,9.926036e-01
9.979765e-02,9.926375e-01,9.926375e-01
1.022976e-01,9.926717e-01,9.926717e-01
1.047976e-01,9.927059e-01,9.927059e-01
1.072976e-01,9.927403e-01,9.927403e-01
1.097976e-01,9.895955e-01,9.902412e-01
1.122976e-01,9.905281e-01,9.908706e-01
1.147976e-01,9.908834e-01,9.911380e-01
1.172976e-01,9.911254e-01,9.913295e-01
1.197976e-01,9.913135e-01,9.914835e-01
1.222976e-01,9.914693e-01,9.916144e-01
1.247976e-01,9.916035e-01,9.917294e-01
1.272976e-01,9.917219e-01,9.918327e-01
1.297976e-01,9.918285e-01,9.919270e-01
1.322976e-01,9.919257e-01,9.920139e-01
1.347976e-01,9.920153e-01,9.920949e-01
1.372976e-01,9.920986e-01,9.921708e-01
1.397976e-01,9.921766e-01,9.922424e-01
1.422976e-01,9.922500e-01,9.923103e-01
1.447976e-01,9.923194e-01,9.923748e-01
1.472976e-01,9.923853e-01,9.924365e-01
1.497976e-01,9.924481e-01,9.924955e-01
1.522976e-01,9.925082e-01,9.925522e-01
1.547976e-01,9.925657e-01,9.926067e-01
1.572976e-01,9.926210e-01,9.926592e-01
1.597976e-01,9.926742e-01,9.927100e-01
1.622976e-01,9.927255e-01,9.927590e-01
1.647976e-01,9.927750e-01,9.928065e-01
1.672976e-01,9.928230e-01,9.928526e-01
1.697976e-01,9.928694e-01,9.928973e-01
1.722976e-01,9.929144e-01,9.929407e-01
1.747976e-01,9.905004e-01,9.908559e-01
1.772976e-01,9.911811e-01,9.913925e-01
1.797976e-01,9.914599e-01,9.916201e-01
1.822976e-01,9.916598e-01,9.917894e-01
1.847976e-01,9.918197e-01,9.919283e-01
1.872976e-01,9.919545e-01,9.920477e-01
1.897976e-01,9.920720e-01,9.921532e-01
1.922976e-01,9.921766e-01,9.922483e-01
1.947976e-01,9.922712e-01,9.923351e-01
1.972976e-01,9.923578e-01,9.924153e-01
1.997976e-01,9.907272e-01,9.908466e-01
2.022976e-01,9.911410e-01,9.912587e-01
2.047976e-01,9.913810e-01,9.914725e-01
2.072976e-01,9.915650e-01,9.916403e-01
2.097976e-01,9.917178e-01,9.917817e-01
2.122976e-01,9.918500e-01,9.919054e-01
2.147976e-01,9.919671e-01,9.920159e-01
2.172976e-01,9.908765e-01,9.909462e-01
2.197976e-01,9.911763e-01,9.912285e-01
2.222976e-01,9.913801e-01,9.914234e-01
2.247976e-01,9.915446e-01,9.915819e-01
2.272976e-01,9.916853e-01,9.917182e-01
2.297976e-01,9.918095e-01,9.918389e-01
2.322976e-01,9.919213e-01,9.919478e-01
2.347976e-01,9.920232e-01,9.920474e-01
2.372976e-01,9.921172e-01,9.921394e-01
2.397976e-01,9.922045e-01,9.922249e-01
2.422976e-01,9.922861e-01,9.923051e-01
2.447976e-01,9.923628e-01,9.923804e-01
2.472976e-01,9.924352e-01,9.924517e-01
2.497976e-01,9.925038e-01,9.925192e-01
2.522976e-01,9.925691e-01,9.925835e-01
2.547976e-01,9.926313e-01,9.926449e-01
2.572976e-01,9.926907e-01,9.927036e-01
2.597976e-01,9.927477e-01,9.927598e-01
2.622976e-01,9.928023e-01,9.928138e-01
2.647976e-01,9.928549e-01,9.928658e-01
2.672976e-01,9.929056e-01,9.929159e-01
2.697976e-01,9.929545e-01,9.929643e-01
2.722976e-01,9.930017e-01,9.930111e-01
2.747976e-01,9.930474e-01,9.930563e-01
2.772976e-01,9.930916e-01,9.931001e-01
2.797976e-01,9.931345e-01,9.931427e-01
2.822976e-01,9.931761e-01,9.931839e-01
2.847976e-01,9.932166e-01,9.932241e-01
2.872976e-01,9.932559e-01,9.932631e-01
2.897976e-01,9.932942e-01,9.933010e-01
2.922976e-01,9.933314e-01,9.933380e-01
2.947976e-01,9.933677e-01,9.933741e-01
2.972976e-01,9.934032e-01,9.934093e-01
2.997976e-01,9.934377e-01,9.934436e-01
3.022976e-01,9.934715e-01,9.934772e-01
