x_nm,eps_0_eV,eps_1_eV,eps_2_eV,eps_3_eV,eps_4_eV,eps_5_eV,eps_6_eV,eps_7_eV,eps_8_eV,eps_9_eV,eps_10_eV,eps_11_eV,eps_12_eV,eps_13_eV,eps_14_eV,eps_15_eV,eps_16_eV,eps_17_eV,eps_18_eV,eps_19_eV,eps_20_eV,eps_21_eV,eps_22_eV,eps_23_eV,eps_24_eV,eps_25_eV,eps_26_eV,eps_27_eV,eps_28_eV,eps_29_eV,eps_30_eV,eps_31_eV,eps_32_eV,eps_33_eV,eps_34_eV,eps_35_eV,eps_36_eV,eps_37_eV,eps_38_eV,eps_39_eV
0.0000,-2.5871e-02,-6.4672e-03,1.0706e-01,1.6742e-01,1.8591e-01,2.0736e-01,3.0262e-01,3.3434e-01,4.0090e-01,4.5083e-01,5.2871e-01,5.6493e-01,5.7306e-01,5.9251e-01,6.4443e-01,6.6034e-01,7.0571e-01,7.5878e-01,7.6909e-01,8.0622e-01,8.5330e-01,9.3300e-01,9.6570e-01,1.0497e+00,1.1140e+00,1.1332e+00,1.1638e+00,1.2474e+00,1.2593e+00,1.3472e+00,1.3677e+00,1.4742e+00,1.5908e+00,1.7049e+00,1.8002e+00,1.8058e+00,1.8251e+00,1.9097e+00,1.9391e+00,2.0390e+00
0.7500,-2.5015e-02,-3.5890e-03,1.0524e-01,1.6786e-01,1.8887e-01,2.0827e-01,2.9957e-01,3.3443e-01,4.0136e-01,4.5204e-01,5.2811e-01,5.6566e-01,5.7243e-01,5.9379e-01,6.4531e-01,6.6125e-01,7.0264e-01,7.5903e-01,7.6455e-01,8.0573e-01,8.5359e-01,9.3171e-01,9.5891e-01,1.0495e+00,1.1137e+00,1.1350e+00,1.1630e+00,1.2442e+00,1.2587e+00,1.3469e+00,1.3620e+00,1.4731e+00,1.5909e+00,1.7045e+00,1.7998e+00,1.8055e+00,1.8268e+00,1.9036e+00,1.9360e+00,2.0387e+00
1.5000,-2.4973e-02,-2.0022e-03,1.0335e-01,1.6803e-01,1.9096e-01,2.0857e-01,2.9737e-01,3.3391e-01,4.0179e-01,4.5246e-01,5.2757e-01,5.6552e-01,5.7232e-01,5.9524e-01,6.4593e-01,6.6172e-01,7.0065e-01,7.5905e-01,7.6096e-01,8.0584e-01,8.5418e-01,9.3106e-01,9.5443e-01,1.0498e+00,1.1137e+00,1.1367e+00,1.1628e+00,1.2422e+00,1.2590e+00,1.3472e+00,1.3583e+00,1.4725e+00,1.5913e+00,1.7043e+00,1.8002e+00,1.8054e+00,1.8284e+00,1.8996e+00,1.9340e+00,2.0389e+00
2.2500,-2.5551e-02,-1.3168e-03,1.0127e-01,1.6784e-01,1.9236e-01,2.0833e-01,2.9543e-01,3.3290e-01,4.0194e-01,4.5226e-01,5.2688e-01,5.6474e-01,5.7197e-01,5.9625e-01,6.4620e-01,6.6168e-01,6.9879e-01,7.5772e-01,7.5874e-01,8.0578e-01,8.5459e-01,9.3028e-01,9.5092e-01,1.0499e+00,1.1133e+00,1.1378e+00,1.1623e+00,1.2402e+00,1.2591e+00,1.3471e+00,1.3551e+00,1.4717e+00,1.5914e+00,1.7039e+00,1.8005e+00,1.8051e+00,1.8295e+00,1.8962e+00,1.9320e+00,2.0389e+00
3.0000,-2.6970e-02,-1.6003e-03,9.8636e-02,1.6688e-01,1.9283e-01,2.0729e-01,2.9308e-01,3.3117e-01,4.0138e-01,4.5125e-01,5.2557e-01,5.6316e-01,5.7085e-01,5.9640e-01,6.4572e-01,6.6082e-01,6.9642e-01,7.5417e-01,7.5772e-01,8.0498e-01,8.5430e-01,9.2883e-01,9.4734e-01,1.0492e+00,1.1122e+00,1.1380e+00,1.1611e+00,1.2378e+00,1.2586e+00,1.3464e+00,1.3517e+00,1.4703e+00,1.5907e+00,1.7027e+00,1.8000e+00,1.8040e+00,1.8297e+00,1.8927e+00,1.9296e+00,2.0381e+00
3.7500,-2.9375e-02,-2.8575e-03,9.5185e-02,1.6487e-01,1.9224e-01,2.0528e-01,2.8993e-01,3.2855e-01,3.9981e-01,4.4929e-01,5.2335e-01,5.6068e-01,5.6866e-01,5.9549e-01,6.4425e-01,6.5900e-01,6.9316e-01,7.4984e-01,7.5574e-01,8.0316e-01,8.5300e-01,9.2643e-01,9.4306e-01,1.0474e+00,1.1100e+00,1.1371e+00,1.1590e+00,1.2345e+00,1.2570e+00,1.3445e+00,1.3474e+00,1.4678e+00,1.5889e+00,1.7005e+00,1.7984e+00,1.8016e+00,1.8287e+00,1.8883e+00,1.9262e+00,2.0362e+00
4.5000,-3.3162e-02,-5.3297e-03,9.0472e-02,1.6132e-01,1.9027e-01,2.0195e-01,2.8544e-01,3.2470e-01,3.9678e-01,4.4605e-01,5.1975e-01,5.5697e-01,5.6484e-01,5.9310e-01,6.4136e-01,6.5586e-01,6.8842e-01,7.4412e-01,7.5240e-01,7.9977e-01,8.5024e-01,9.2254e-01,9.3735e-01,1.0442e+00,1.1059e+00,1.1345e+00,1.1553e+00,1.2295e+00,1.2539e+00,1.3409e+00,1.3415e+00,1.4637e+00,1.5854e+00,1.6966e+00,1.7950e+00,1.7973e+00,1.8258e+00,1.8822e+00,1.9209e+00,2.0323e+00
5.2500,-3.9200e-02,-9.6850e-03,8.3665e-02,1.5524e-01,1.8608e-01,1.9649e-01,2.7866e-01,3.1881e-01,3.9135e-01,4.4077e-01,5.1385e-01,5.5126e-01,5.5809e-01,5.8810e-01,6.3616e-01,6.5059e-01,6.8096e-01,7.3596e-01,7.4679e-01,7.9357e-01,8.4510e-01,9.1594e-01,9.2907e-01,1.0382e+00,1.0983e+00,1.1287e+00,1.1490e+00,1.2212e+00,1.2479e+00,1.3326e+00,1.3339e+00,1.4563e+00,1.5787e+00,1.6894e+00,1.7883e+00,1.7886e+00,1.8189e+00,1.8725e+00,1.9116e+00,2.0242e+00
6.0000,-4.8788e-02,-1.6929e-02,7.3629e-02,1.4483e-01,1.7809e-01,1.8771e-01,2.6795e-01,3.0973e-01,3.8184e-01,4.3235e-01,5.0396e-01,5.4244e-01,5.4563e-01,5.7793e-01,6.2701e-01,6.4203e-01,6.6814e-01,7.2390e-01,7.3729e-01,7.8187e-01,8.3588e-01,9.0396e-01,9.1631e-01,1.0269e+00,1.0831e+00,1.1158e+00,1.1374e+00,1.2057e+00,1.2364e+00,1.3177e+00,1.3195e+00,1.4415e+00,1.5646e+00,1.6751e+00,1.7698e+00,1.7741e+00,1.8025e+00,1.8549e+00,1.8925e+00,2.0063e+00
6.7500,-6.4540e-02,-2.9201e-02,5.8226e-02,1.2579e-01,1.6235e-01,1.7329e-01,2.4934e-01,2.9515e-01,3.6413e-01,4.1857e-01,4.8598e-01,5.1973e-01,5.2857e-01,5.5545e-01,6.0987e-01,6.2784e-01,6.4286e-01,7.0527e-01,7.1992e-01,7.5742e-01,8.1852e-01,8.7939e-01,8.9478e-01,1.0030e+00,1.0484e+00,1.0844e+00,1.1133e+00,1.1714e+00,1.2121e+00,1.2861e+00,1.2893e+00,1.4080e+00,1.5318e+00,1.6420e+00,1.7238e+00,1.7409e+00,1.7597e+00,1.8177e+00,1.8470e+00,1.9616e+00
